,Age,Gender,Race/Ethnicity,Census Region,Income Group,Occupation,Work Status,Education,Marital Status,Vote
143,2,1,5,4,3,3,1,3,1,1
144,3,2,1,1,3,1,5,6,1,0
145,3,1,1,1,3,3,5,1,2,0
146,2,2,1,1,0,1,1,5,1,0
147,2,2,1,1,5,6,7,6,1,1
148,3,1,1,1,2,3,5,1,1,0
149,3,1,1,1,3,1,5,6,1,1
150,2,1,1,2,3,2,1,3,1,0
151,2,2,5,3,1,3,6,1,2,0
152,2,2,2,3,2,3,1,3,3,0
153,1,2,4,4,3,2,4,3,4,0
154,2,2,1,4,2,1,1,5,3,0
155,1,2,5,4,2,6,7,2,2,1
156,1,1,1,1,2,2,1,6,2,0
157,2,2,1,3,3,1,1,6,3,1
158,1,2,5,3,3,1,4,5,2,0
159,3,1,1,4,4,1,1,6,1,0
160,2,1,1,2,3,5,1,3,2,0
161,3,2,1,4,0,1,5,5,5,1
162,2,1,1,4,4,1,1,6,1,0
163,2,2,1,1,3,1,1,6,3,0
164,2,2,1,3,3,2,1,5,3,1
165,2,2,1,3,3,5,1,3,1,1
166,2,2,1,4,2,2,6,5,3,0
167,2,2,5,4,4,3,4,2,1,1
168,1,2,1,4,0,2,1,3,1,1
169,2,2,1,2,5,1,1,5,1,1
170,1,2,1,2,4,2,1,3,7,0
171,2,2,1,3,4,1,1,6,3,0
172,1,1,2,3,4,2,1,6,1,1
173,3,1,1,1,4,3,1,3,1,0
174,1,2,1,3,4,2,4,5,1,1
175,1,2,1,3,4,2,1,3,1,1
176,2,1,1,1,4,2,1,6,4,1
177,3,1,1,1,2,3,5,2,5,0
178,1,1,1,3,4,3,1,3,2,1
179,2,1,1,4,4,1,1,6,1,1
180,1,1,1,4,4,1,1,6,1,1
181,2,2,1,2,3,2,1,3,1,1
182,2,1,1,3,3,3,1,6,1,0
183,1,2,1,4,4,2,1,5,7,0
184,1,1,1,2,0,0,8,5,2,0
185,2,2,1,3,4,6,7,6,1,0
186,1,2,1,2,4,2,1,5,1,1
187,2,2,1,2,3,6,7,5,1,1
188,2,1,1,2,4,2,1,6,1,0
189,1,2,1,2,4,1,1,6,1,1
190,1,2,1,2,3,2,1,3,1,1
191,2,2,1,2,4,1,1,3,1,1
192,3,2,1,2,0,6,7,3,5,1
193,1,1,1,2,2,2,1,5,2,1
194,1,2,1,2,2,2,1,5,3,0
195,2,2,2,2,3,2,1,5,3,0
196,2,1,1,2,4,2,1,6,1,1
197,2,1,1,1,2,2,1,6,2,1
198,1,1,1,2,4,1,1,6,1,1
199,1,2,4,3,2,1,1,3,2,0
200,3,2,1,1,4,2,5,5,1,0
201,2,2,5,4,1,2,5,3,3,0
202,1,2,1,3,4,1,1,6,1,1
203,1,2,1,3,3,1,1,6,2,0
204,1,2,1,3,2,0,8,5,2,1
205,3,2,1,2,0,3,5,1,5,0
206,2,2,1,2,4,2,1,3,1,0
207,1,1,1,4,1,4,4,3,2,0
208,1,2,2,3,2,0,2,3,2,0
209,1,2,5,2,1,0,8,3,2,0
210,2,2,1,3,3,1,1,6,2,0
211,1,1,1,1,4,1,1,6,1,1
212,2,2,2,1,4,6,7,6,1,1
213,2,1,1,4,4,1,1,3,1,1
214,2,1,5,1,3,5,1,2,1,0
215,2,2,1,1,5,2,4,5,1,1
216,1,1,0,3,3,1,1,0,0,0
217,2,2,2,3,2,3,1,3,1,0
218,2,1,1,3,2,4,1,3,2,0
219,1,1,1,4,4,3,1,3,3,1
220,2,2,2,4,1,3,6,5,3,0
221,2,1,2,2,3,3,6,3,1,0
222,2,2,1,3,1,1,6,3,3,0
223,2,2,5,3,2,6,7,3,1,0
224,3,2,1,3,0,1,5,5,5,1
225,3,2,5,1,2,3,5,2,1,1
226,1,2,1,2,4,6,7,5,1,1
227,1,1,1,4,3,0,8,5,2,0
228,2,1,5,1,4,2,1,6,1,0
229,1,1,1,3,0,3,1,6,2,0
230,2,1,1,3,5,1,1,6,1,1
231,1,1,3,3,4,1,1,6,1,1
232,2,2,1,3,2,3,1,5,1,1
233,1,1,1,4,2,1,1,6,7,0
234,2,1,1,2,4,1,1,6,2,0
235,2,1,1,3,4,1,1,6,1,1
236,2,1,2,1,4,3,1,3,1,0
237,1,1,1,2,3,3,1,5,1,1
238,3,2,1,4,4,1,5,6,3,1
239,3,2,1,4,4,6,7,6,1,0
240,2,1,1,2,4,1,1,3,1,0
241,2,2,1,3,5,1,1,6,1,1
242,2,1,1,3,0,5,1,6,1,0
243,2,2,1,3,4,1,1,6,1,0
244,1,2,1,3,4,6,7,6,1,1
245,1,1,5,1,3,2,4,5,2,0
246,3,1,1,2,4,3,1,3,1,1
247,2,2,1,2,4,4,1,3,1,0
248,1,2,1,1,4,0,8,3,2,0
249,1,2,1,3,5,1,1,6,2,1
250,2,1,1,1,2,3,1,5,1,1
251,1,1,1,1,3,2,1,5,1,1
252,1,2,5,2,3,0,8,3,2,0
253,2,2,1,4,4,2,1,3,1,0
254,2,2,5,3,4,1,5,6,1,0
255,2,2,1,3,4,2,1,3,1,1
256,3,2,1,2,2,1,5,6,5,0
257,3,1,1,2,3,1,5,6,1,1
258,3,2,1,3,2,3,5,1,1,0
259,1,1,1,3,3,0,1,6,2,1
260,2,1,1,2,0,4,1,3,1,0
261,3,2,2,3,0,3,5,1,1,1
262,2,1,3,3,4,1,1,6,1,0
263,3,2,1,3,4,6,7,5,1,1
264,1,2,1,1,4,3,1,3,1,0
265,2,2,1,3,3,2,1,5,1,0
266,2,1,1,3,3,3,1,5,1,0
267,2,2,1,3,4,6,7,6,1,1
268,3,1,1,3,5,2,1,6,1,1
269,2,1,1,4,2,2,1,5,3,0
270,1,2,1,4,3,2,1,3,2,0
271,2,1,1,1,4,3,1,5,1,0
272,2,1,1,1,4,3,1,5,1,1
273,1,1,1,3,2,3,1,5,2,1
274,3,2,1,1,1,2,5,2,5,1
275,2,1,1,3,5,1,1,6,1,1
276,2,1,3,2,3,1,1,6,1,1
277,3,1,1,2,2,2,5,5,1,0
278,2,1,1,3,3,2,1,5,1,0
279,1,2,1,3,4,3,1,3,1,1
280,1,2,5,3,0,1,1,6,1,1
281,3,2,1,3,4,6,7,5,1,1
282,2,2,1,2,1,0,0,3,7,0
283,3,2,2,1,2,3,5,3,3,0
284,3,2,1,2,3,3,1,1,1,1
285,1,1,5,1,3,2,1,5,1,0
286,3,2,1,4,2,2,5,5,5,0
287,1,1,4,4,3,3,1,5,7,0
288,2,1,1,4,3,2,1,6,1,1
289,1,1,1,3,3,1,1,6,1,1
290,2,2,1,3,4,1,1,6,3,1
291,1,2,1,2,1,3,1,3,2,0
292,3,2,1,2,2,2,5,5,1,0
293,2,2,1,3,1,0,8,5,3,0
294,2,1,1,3,4,3,1,6,1,1
295,1,1,2,3,4,2,1,5,7,0
296,2,2,1,1,5,2,1,3,7,0
297,2,1,1,1,0,3,1,0,1,1
298,3,2,1,1,1,1,5,6,5,0
299,1,1,2,2,3,3,1,6,3,0
300,2,1,1,2,4,3,1,3,1,0
301,2,1,1,2,4,2,5,5,1,1
302,2,2,5,3,2,3,1,1,1,0
303,2,2,3,3,4,3,1,6,1,1
304,3,2,1,3,2,3,5,1,1,1
305,2,1,2,3,3,0,1,5,1,0
306,1,2,5,1,1,2,1,5,2,0
307,2,1,1,1,4,1,1,6,2,1
308,1,1,1,2,2,2,1,3,2,0
309,2,2,1,2,3,6,7,3,1,1
310,3,1,1,2,2,1,5,6,5,1
311,1,1,1,2,3,3,1,5,3,1
312,2,1,1,2,4,3,1,3,1,0
313,2,1,1,2,4,3,1,5,1,0
314,1,1,1,2,3,3,1,5,1,1
315,2,2,1,4,5,6,7,6,1,0
316,1,1,1,4,3,3,1,0,1,0
317,1,1,1,4,4,2,1,0,1,1
318,2,2,1,1,3,2,1,2,1,1
319,2,2,1,2,3,3,6,3,1,0
320,2,2,1,2,2,3,1,2,3,0
321,1,1,1,2,3,3,1,3,3,0
