ID|STAR|PERIOD|V_INTMEAN|L|B
118.0|SU Cas|1.949322|5.970|133.47|8.52
119.0|SW Cas|5.440950|9.705|109.67|-1.61
120.0|SY Cas|4.071098|9.868|118.19|-4.11
121.0|SZ Cas|13.637747|9.853|134.84|-1.18
122.0|TU Cas|2.139298|7.733|118.93|11.40
123.0|UZ Cas|4.259459|11.338|125.49|-1.55
124.0|VV Cas|6.207059|10.724|130.36|-2.12
125.0|VW Cas|5.993859|10.697|124.63|-1.07
126.0|XY Cas|4.501697|9.935|122.74|-2.74
127.0|AP Cas|6.847000|11.543|120.87|0.11
128.0|AS Cas|3.021250|12.248|120.13|1.50
129.0|AW Cas|4.278330|12.071|125.85|-1.11
130.0|AY Cas|2.871294|11.537|127.94|2.58
130.3|BD Cas|3.650900|11.000|118.00|-0.96
131.0|BF Cas|3.630270|12.470|118.41|-1.56
132.0|BP Cas|6.272724|10.920|125.37|2.84
133.0|BV Cas|5.399640|12.397|127.40|-0.25
134.0|BY Cas|3.223300|10.366|129.55|-0.73
135.0|CD Cas|7.800890|10.738|115.48|1.10
136.0|CE Cas A|5.140900|10.922|116.56|-1.00
137.0|CE Cas B|4.479300|11.062|116.56|-1.00
138.0|CF Cas|4.875220|11.136|116.58|-0.99
139.0|CG Cas|4.365664|11.335|116.85|-1.31
140.0|CH Cas|15.086190|10.973|112.90|1.64
141.0|CT Cas|3.810610|12.257|119.40|0.52
142.0|CY Cas|14.376860|11.641|113.87|1.96
143.0|CZ Cas|5.664380|11.713|114.70|0.67
144.0|DD Cas|9.812027|9.876|116.78|0.49
145.0|DF Cas|3.832472|10.848|136.04|1.51
146.0|DL Cas|8.000669|8.969|120.27|-2.55
147.0|DT Cas|4.789960||113.30|-2.07
148.0|DW Cas|4.997760|11.112|113.78|-2.21
149.0|EX Cas|4.305300|12.804|117.21|-0.42
150.0|FM Cas|5.809284|9.127|117.78|-6.25
151.0|FO Cas|6.798800|14.297|118.75|-1.80
152.0|FW Cas|6.237050|12.443|121.23|-0.55
153.0|GL Cas|4.007890|12.744|132.93|-2.07
154.0|GM Cas|7.468900||134.40|-0.15
155.0|GO Cas|3.239040|13.215|135.79|-0.88
156.0|IO Cas|5.603920|13.673|129.93|-2.50
157.0|KK Cas|8.191650|11.921|115.32|-2.05
158.0|LT Cas|5.904880|12.528|135.38|3.24
159.0|NP Cas|6.170600|13.582|119.82|0.27
160.0|NY Cas|2.823092|13.330|121.46|-4.24
161.0|OP Cas|5.512800|11.909|122.39|0.67
162.0|OZ Cas|5.080000|13.472|125.63|-0.70
163.0|PW Cas|3.999927|13.078|112.83|0.06
164.0|V342 Cas|3.919890|12.034|108.68|-1.88
165.0|V379 Cas|4.305750|9.053|119.90|-1.93
166.0|V395 Cas|4.037771|10.717|131.68|1.78
167.0|V407 Cas|4.584553|11.996|116.31|-0.06
168.0|V636 Cas|8.377000|7.199|127.50|1.09
169.0|V Cen|5.493861|6.836|316.44|3.31
170.0|TX Cen|17.093600|10.532|315.18|-0.60
171.0|UZ Cen|3.334340|8.765|294.95|-0.92
172.0|VW Cen|15.036180|10.245|307.56|-1.57
173.0|XX Cen|10.953370|7.818|309.46|4.64
174.0|AY Cen|5.309750|8.830|292.57|0.39
175.0|AZ Cen|3.211981|8.636|292.79|-0.21
176.0|BB Cen|3.997660|10.073|296.38|-0.72
177.0|BK Cen|3.173887|10.008|295.96|-1.05
178.0|IU Cen|3.319260||313.27|4.64
179.0|IZ Cen|5.892300||294.87|-0.49
180.0|KK Cen|12.180300|11.480|294.18|2.71
181.0|KN Cen|34.029641|9.870|307.75|-2.11
182.0|LV Cen|4.975130||294.27|-1.69
183.0|MY Cen|3.718610|12.080|305.26|1.16
184.0|MZ Cen|10.353000|11.531|305.38|-1.56
185.0|OO Cen|12.880500|12.042|306.88|-0.56
186.0|QY Cen|17.752400|11.762|311.90|-0.21
187.0|V339 Cen|9.466000|8.753|313.48|-0.54
188.0|V378 Cen|6.459300|8.460|306.12|0.32
189.0|V381 Cen|5.078780|7.653|310.84|4.38
190.0|V419 Cen|5.506910|8.186|292.07|4.26
191.0|V496 Cen|4.424190|9.966|304.36|1.96
191.5|V553 Cen|2.060510|8.457|329.58|24.68
192.0|V641 Cen|81.000000|10.443|316.09|0.25
193.0|V659 Cen|5.621800|6.598|307.69|0.92
194.0|V686 Cen|69.300000||293.43|0.33
195.0|V737 Cen|7.065850|6.719|315.00|-1.64
196.0|V782 Cen|11.578000||296.31|-0.60
197.0|AK Cep|7.232680|11.180|105.06|0.37
198.0|CN Cep|9.502500|12.376|113.93|3.44
199.0|CP Cep|17.859000|10.590|100.44|1.07
200.0|CR Cep|6.232964|9.656|107.64|0.34
201.0|IR Cep|2.114124|7.784|103.41|4.91
202.0|IY Cep|5.656906|12.839|101.05|-0.39
203.0|KO Cep|4.558090|14.127|101.98|0.09
204.0|MU Cep|3.767820|12.244|104.19|0.29
205.0|Del Cep|5.366270|3.954|105.19|0.53
206.0|AV Cir|3.065100|7.439|313.97|-7.22
207.0|AX Cir|5.273306|5.880|315.83|-4.01
208.0|BP Cir|2.398400|7.560|316.25|-1.61
209.0|R Cru|5.825750|6.766|299.63|1.06
210.0|S Cru|4.689596|6.600|303.32|4.44
211.0|T Cru|6.733200|6.566|299.44|0.39
212.0|X Cru|6.219970|8.404|302.28|3.74
213.0|SU Cru|12.847600|9.796|299.21|-0.65
214.0|SV Cru|7.004270|12.104|296.83|-0.41
215.0|TY Cru|4.988510||297.81|-0.18
216.0|VV Cru|6.121150||299.93|-1.76
217.0|VW Cru|5.265220|9.622|300.91|-0.71
218.0|VX Cru|12.212600|11.995|300.88|1.57
219.0|AD Cru|6.397890|11.051|298.45|0.44
221.0|AG Cru|3.837254|8.225|301.67|3.05
222.0|BG Cru|3.342720|5.487|300.42|3.35
224.0|X Cyg|16.386332|6.391|76.87|-4.26
