WINS,SAL
108,9.579
82,8.198
73,7.829
92,7.802
95,7.733
100,7.719
103,7.495
80,7.07
88,7.028
89,6.839
73,6.686
67,6.654
77,6.412
82,6.198
91,6.048
91,6.033
47,5.949
78,5.753
90,5.441
64,5.414
58,5.281
66,5.209
96,4.842
80,4.768
67,4.464
63,4.323
82,4.154
97,3.859
90,3.823
62,3.316
