ID       |B     |R_Sun|R_gc |[Fe/H]|sig_v|r_h |lg(th)
NGC 6366 | 16.04|  3.5|  5.0| -0.59| 1.3 |2.92| 8.73
Terzan 4 |  1.31|  7.2|  1.0| -1.41|     |1.85| 8.70
HP 1     |  2.12|  8.2|  0.5| -1.00|     |3.10| 9.44
NGC 6362 |-17.57|  7.6|  5.1| -0.99| 2.8 |2.05| 9.20
Liller 1 | -0.16|  8.2|  0.8| -0.33|     |    | 0.00
NGC 6380 | -3.42| 10.9|  3.3| -0.75|     |0.74| 8.86
Terzan 1 |  1.00|  6.7|  1.3| -1.03|     |3.82| 9.12
Ton 2    | -3.42|  8.2|  1.4| -0.70|     |1.30| 8.82
NGC 6388 | -6.74|  9.9|  3.1| -0.55|18.9 |0.52| 8.90
NGC 6402 | 14.81|  9.3|  4.0| -1.28|     |1.30| 9.39
NGC 6401 |  3.98| 10.6|  2.7| -1.02|     |1.91| 9.53
NGC 6397 |-11.96|  2.3|  6.0| -2.02| 4.5 |2.90| 8.60
Pal 6    |  1.78|  5.8|  2.2| -0.91|     |1.20| 8.64
NGC 6426 | 16.23| 20.6| 14.4| -2.15|     |0.92| 9.28
Djorg 1  | -2.47| 13.7|  5.7| -1.51|     |1.59| 0.00
Terzan 5 |  1.69|  6.9|  1.2| -0.23|     |0.72| 8.53
NGC 6440 |  3.80|  8.5|  1.3| -0.36|     |0.48| 8.62
NGC 6441 | -5.01| 11.6|  3.9| -0.46|18.0 |0.57| 9.09
Terzan 6 | -2.16|  6.8|  1.3| -0.56|     |0.44| 8.22
NGC 6453 | -3.87| 11.6|  3.7| -1.50|     |0.44| 8.52
UKS 1    |  0.76|  7.8|  0.7| -0.64|     |    | 0.00
NGC 6496 |-10.01| 11.3|  4.2| -0.46|     |1.02| 9.04
Terzan 9 | -1.99|  7.1|  1.1| -1.05|     |0.78| 8.00
Djorg 2  | -2.50|  6.3|  1.8| -0.65|     |1.05| 0.00
NGC 6517 |  6.76| 10.6|  4.2| -1.23|     |0.50| 8.72
Terzan 10| -1.99|  5.8|  2.3| -1.00|     |1.55| 8.74
NGC 6522 | -3.93|  7.7|  0.6| -1.34| 6.7 |1.00| 8.86
NGC 6535 | 10.44|  6.8|  3.9| -1.79| 2.4 |0.85| 8.20
NGC 6528 | -4.17|  7.9|  0.6| -0.11|     |0.38| 8.06
NGC 6539 |  6.78|  7.8|  3.0| -0.63|     |1.70| 9.32
NGC 6540 | -3.31|  5.3|  2.8| -1.35|     |    | 0.00
NGC 6544 | -2.20|  3.0|  5.1| -1.40|     |1.21| 8.24
NGC 6541 |-11.19|  7.5|  2.1| -1.81| 8.2 |1.06| 9.03
2MS-GC01 |  0.11|  3.6|  4.5|      |     |1.65| 8.43
ESO-SC06 |-12.57| 21.4| 14.0| -1.80|     |1.05| 9.10
NGC 6553 | -3.03|  6.0|  2.2| -0.18|     |1.03| 8.72
2MS-GC02 | -0.61|  4.9|  3.2| -1.08|     |0.55| 7.72
NGC 6558 | -6.02|  7.4|  1.0| -1.32| 3.1 |2.15| 9.12
IC 1276  |  5.67|  5.4|  3.7| -0.75|     |2.38| 9.03
Terzan 12| -2.10|  4.8|  3.4| -0.50|     |0.75| 7.78
NGC 6569 | -6.68| 10.9|  3.1| -0.76|     |0.80| 9.05
BH 261   | -5.27|  6.5|  1.7| -1.30|     |0.55| 7.80
GLIMPSE02| -0.64|  5.5|  3.0| -0.33|     |    |
NGC 6584 |-16.41| 13.5|  7.0| -1.50|     |0.73| 9.02
NGC 6624 | -7.91|  7.9|  1.2| -0.44| 5.4 |0.82| 8.71
NGC 6626 | -5.58|  5.5|  2.7| -1.32| 8.6 |1.97| 9.17
NGC 6638 | -7.15|  9.4|  2.2| -0.95|     |0.51| 8.46
NGC 6637 |-10.27|  8.8|  1.7| -0.64|     |0.84| 8.82
NGC 6642 | -6.44|  8.1|  1.7| -1.26|     |0.73| 8.52
NGC 6652 |-11.38| 10.0|  2.7| -0.81|     |0.48| 8.39
